ds,key,topology,morph,L,kstar_true,n_hill,Dratio,slow_idx,sigma,frac_strict,frac_loose,frac_loose_only,kstar_cv
three_gene_train,sample_0015,substrate_depl,labyrinth,149.81087212190351,0.25164469914040116,4.0,154.66321780165774,0,0.2,0.835,1.0,0.165,0.10259735909143433
three_gene_train,sample_0016,selfinhib,spots,101.35418939107365,0.37195415472779375,3.0,232.3605284551253,0,0.01,1.0,1.0,0.0,0.014382734114778388
three_gene_train,sample_0016,selfinhib,spots,101.35418939107365,0.37195415472779375,3.0,232.3605284551253,0,0.048,1.0,1.0,0.0,0.029162894454407517
three_gene_train,sample_0016,selfinhib,spots,101.35418939107365,0.37195415472779375,3.0,232.3605284551253,0,0.1,1.0,1.0,0.0,0.05087621474386499
three_gene_train,sample_0016,selfinhib,spots,101.35418939107365,0.37195415472779375,3.0,232.3605284551253,0,0.2,0.9825,1.0,0.0175,0.10757281377734765
three_gene_train,sample_0017,selfinhib,labyrinth,129.2181303597923,0.2917478510028654,2.0,214.4912282059275,0,0.01,1.0,1.0,0.0,0.0027643569857059838
three_gene_train,sample_0017,selfinhib,labyrinth,129.2181303597923,0.2917478510028654,2.0,214.4912282059275,0,0.048,1.0,1.0,0.0,0.029260553283550005
three_gene_train,sample_0017,selfinhib,labyrinth,129.2181303597923,0.2917478510028654,2.0,214.4912282059275,0,0.1,1.0,1.0,0.0,0.053376862036065315
three_gene_train,sample_0017,selfinhib,labyrinth,129.2181303597923,0.2917478510028654,2.0,214.4912282059275,0,0.2,0.9775,1.0,0.0225,0.1017158720779585
three_gene_train,sample_0018,cross_repress,stripes,70.81417271219,0.5323667621776504,2.0,50.76230789992461,0,0.01,1.0,1.0,0.0,2.0908629298395348e-16
three_gene_train,sample_0018,cross_repress,stripes,70.81417271219,0.5323667621776504,2.0,50.76230789992461,0,0.048,0.98,0.98,0.0,0.023399590175334238
three_gene_train,sample_0018,cross_repress,stripes,70.81417271219,0.5323667621776504,2.0,50.76230789992461,0,0.1,0.87,0.87,0.0,0.047452721957780435
three_gene_train,sample_0018,cross_repress,stripes,70.81417271219,0.5323667621776504,2.0,50.76230789992461,0,0.2,0.685,0.685,0.0,0.09064562617194803
three_gene_train,sample_0019,double_inhibitor,labyrinth,89.31680119229944,0.42208309455587395,3.0,223.3253561509775,0,0.01,1.0,1.0,0.0,0.01133945195996042
three_gene_train,sample_0019,double_inhibitor,labyrinth,89.31680119229944,0.42208309455587395,3.0,223.3253561509775,0,0.048,1.0,1.0,0.0,0.0249061127382864
three_gene_train,sample_0019,double_inhibitor,labyrinth,89.31680119229944,0.42208309455587395,3.0,223.3253561509775,0,0.1,1.0,1.0,0.0,0.052978545307475144
three_gene_train,sample_0019,double_inhibitor,labyrinth,89.31680119229944,0.42208309455587395,3.0,223.3253561509775,0,0.2,0.9525,1.0,0.0475,0.0998469179360955
three_gene_train,sample_0020,selfinhib,labyrinth,101.35418939107365,0.37195415472779375,3.0,105.63413316271894,0,0.01,1.0,1.0,0.0,0.0021650972668614933
three_gene_train,sample_0020,selfinhib,labyrinth,101.35418939107365,0.37195415472779375,3.0,105.63413316271894,0,0.048,1.0,1.0,0.0,0.034935475088197984
three_gene_train,sample_0020,selfinhib,labyrinth,101.35418939107365,0.37195415472779375,3.0,105.63413316271894,0,0.1,0.9375,0.945,0.0075,0.06544440915438954
three_gene_train,sample_0020,selfinhib,labyrinth,101.35418939107365,0.37195415472779375,3.0,105.63413316271894,0,0.2,0.685,0.83,0.145,0.12921081971599355
three_gene_train,sample_0021,cross_repress,spots,107.12939919906569,0.3519025787965616,3.0,35.76371855346136,0,0.01,1.0,1.0,0.0,0.0055132668241963025
three_gene_train,sample_0021,cross_repress,spots,107.12939919906569,0.3519025787965616,3.0,35.76371855346136,0,0.048,0.9975,0.9975,0.0,0.031090048756201336
