arm,key,seed,turing,kstar_fft_rel_err,rob_0.2,rob_0.1,morph
posthoc_jitter,sample_0007,0,True,0.11694880788978694,0.675,0.8525,spots
posthoc_jitter,sample_0007,1,True,0.15083117279243544,0.9,0.9925,spots
posthoc_jitter,sample_0007,2,True,0.015301713181841205,0.96,1.0,spots
posthoc_jitter,sample_0007,3,True,0.11694880788978694,0.8425,0.9625,spots
posthoc_jitter,sample_0007,4,True,0.2863606324030298,0.985,0.9975,spots
posthoc_jitter,sample_0007,5,False,0.9978902953586498,,,spots
posthoc_jitter,sample_0007,6,True,0.12022774642875303,0.95,1.0,spots
posthoc_jitter,sample_0007,7,False,0.357404300747293,,,spots
posthoc_jitter,sample_0007,8,True,0.08306644298713832,0.965,1.0,spots
posthoc_jitter,sample_0007,9,True,0.01858065172080741,0.9975,1.0,spots
posthoc_jitter,sample_0007,10,False,0.5235371867215698,,,spots
posthoc_jitter,sample_0007,11,True,0.05246301662345591,0.8175,0.955,spots
wide_init_nonoise,sample_0007,0,False,0.9978902953586498,,,spots
wide_init_nonoise,sample_0007,1,True,0.526816125260536,0.685,0.8325,spots
wide_init_nonoise,sample_0007,2,True,0.22187484113669875,0.9925,1.0,spots
wide_init_nonoise,sample_0007,3,True,0.015301713181841205,0.98,1.0,spots
wide_init_nonoise,sample_0007,4,True,0.4557724569162726,0.8825,0.9925,spots
wide_init_nonoise,sample_0007,5,False,0.5913019165268668,,,spots
wide_init_nonoise,sample_0007,6,True,0.659066646332164,0.995,1.0,spots
wide_init_nonoise,sample_0007,7,False,0.9978902953586498,,,spots
wide_init_nonoise,sample_0007,8,True,0.015301713181841205,0.7075,0.8525,spots
wide_init_nonoise,sample_0007,9,True,0.01858065172080741,0.1725,0.31,spots
wide_init_nonoise,sample_0007,10,False,0.9978902953586498,,,spots
wide_init_nonoise,sample_0007,11,False,0.7945961059427583,,,spots
posthoc_jitter,sample_0008,0,True,0.03485737823087215,0.53,0.75,labyrinth
posthoc_jitter,sample_0008,1,True,0.03485737823087215,0.66,0.8575,labyrinth
posthoc_jitter,sample_0008,2,False,0.17104314694676148,,,labyrinth
posthoc_jitter,sample_0008,3,False,0.10349088662341678,,,labyrinth
posthoc_jitter,sample_0008,4,False,0.9957264957264957,,,labyrinth
posthoc_jitter,sample_0008,5,True,0.03377613016167236,0.425,0.57,labyrinth
posthoc_jitter,sample_0008,6,False,0.10349088662341678,,,labyrinth
posthoc_jitter,sample_0008,7,True,0.3780249201935949,0.99,1.0,labyrinth
posthoc_jitter,sample_0008,8,True,0.17104314694676148,0.3625,0.56,labyrinth
posthoc_jitter,sample_0008,9,True,0.10349088662341678,0.6475,0.8675,labyrinth
posthoc_jitter,sample_0008,10,True,0.23967665533930588,0.7275,0.9625,labyrinth
posthoc_jitter,sample_0008,11,True,0.10349088662341678,0.98,1.0,labyrinth
wide_init_nonoise,sample_0008,0,True,0.3093914118010504,0.86,0.9825,labyrinth
wide_init_nonoise,sample_0008,1,True,0.03485737823087215,0.9475,1.0,labyrinth
wide_init_nonoise,sample_0008,2,False,3.1222840078261767,,,labyrinth
wide_init_nonoise,sample_0008,3,True,0.03485737823087215,0.44,0.7225,labyrinth
wide_init_nonoise,sample_0008,4,True,0.03485737823087215,0.605,0.725,labyrinth
wide_init_nonoise,sample_0008,5,False,0.5839254453712286,,,labyrinth
wide_init_nonoise,sample_0008,6,False,0.9957264957264957,,,labyrinth
wide_init_nonoise,sample_0008,7,False,0.24075790340850578,,,labyrinth
wide_init_nonoise,sample_0008,8,True,0.24075790340850578,0.785,0.9575,labyrinth
wide_init_nonoise,sample_0008,9,True,0.4455771805169395,0.455,0.5175,labyrinth
wide_init_nonoise,sample_0008,10,False,0.9957264957264957,,,labyrinth
wide_init_nonoise,sample_0008,11,False,0.03485737823087215,,,labyrinth
posthoc_jitter,sample_0009,0,False,0.9968454258675079,,,labyrinth
posthoc_jitter,sample_0009,1,True,0.1355706738626429,0.7925,0.985,labyrinth
posthoc_jitter,sample_0009,2,True,0.18623389456881148,0.92,1.0,labyrinth
posthoc_jitter,sample_0009,3,True,0.08490745315647448,0.42,0.495,labyrinth
posthoc_jitter,sample_0009,4,True,0.08490745315647448,0.3425,0.4925,labyrinth
posthoc_jitter,sample_0009,5,False,0.034244232450305896,,,labyrinth
posthoc_jitter,sample_0009,6,False,0.3203983124928737,,,labyrinth
posthoc_jitter,sample_0009,7,True,0.034244232450305896,0.7025,0.9,labyrinth
posthoc_jitter,sample_0009,8,True,0.08490745315647448,0.9525,1.0,labyrinth
posthoc_jitter,sample_0009,9,True,0.18623389456881148,0.8675,0.9925,labyrinth
posthoc_jitter,sample_0009,10,False,0.9968454258675079,,,labyrinth
posthoc_jitter,sample_0009,11,False,0.08490745315647448,,,labyrinth
wide_init_nonoise,sample_0009,0,False,0.1355706738626429,,,labyrinth
wide_init_nonoise,sample_0009,1,False,0.9968454258675079,,,labyrinth
wide_init_nonoise,sample_0009,2,False,0.1355706738626429,,,labyrinth
wide_init_nonoise,sample_0009,3,True,0.034244232450305896,0.72,0.9475,labyrinth
wide_init_nonoise,sample_0009,4,False,0.1177454296681997,,,labyrinth
wide_init_nonoise,sample_0009,5,False,0.9968454258675079,,,labyrinth
wide_init_nonoise,sample_0009,6,False,0.1355706738626429,,,labyrinth
wide_init_nonoise,sample_0009,7,False,0.08490745315647448,,,labyrinth
wide_init_nonoise,sample_0009,8,False,0.9968454258675079,,,labyrinth
wide_init_nonoise,sample_0009,9,False,0.9968454258675079,,,labyrinth
wide_init_nonoise,sample_0009,10,False,0.6928661016304967,,,labyrinth
wide_init_nonoise,sample_0009,11,False,0.4395499980996541,,,labyrinth
posthoc_jitter,sample_0010,0,True,0.005095270951647919,0.94,1.0,spots
posthoc_jitter,sample_0010,1,True,0.14659519133803936,0.4575,0.615,spots
posthoc_jitter,sample_0010,2,True,0.14659519133803936,0.99,1.0,spots
posthoc_jitter,sample_0010,3,True,0.0758452311448437,0.5725,0.81,spots
posthoc_jitter,sample_0010,4,True,0.0758452311448437,0.3975,0.615,spots
posthoc_jitter,sample_0010,5,False,0.9955947136563876,,,spots
posthoc_jitter,sample_0010,6,True,0.005095270951647919,0.675,0.855,spots
posthoc_jitter,sample_0010,7,True,0.005095270951647919,0.745,0.92,spots
posthoc_jitter,sample_0010,8,True,0.4295950321108221,0.8525,0.9975,spots
posthoc_jitter,sample_0010,9,False,0.3588450719176265,,,spots
posthoc_jitter,sample_0010,10,False,0.21734515153123501,,,spots
posthoc_jitter,sample_0010,11,False,0.21734515153123501,,,spots
wide_init_nonoise,sample_0010,0,False,0.21734515153123501,,,spots
wide_init_nonoise,sample_0010,1,True,0.21734515153123501,0.4375,0.52,spots
wide_init_nonoise,sample_0010,2,False,0.5003449923040177,,,spots
wide_init_nonoise,sample_0010,3,False,0.21734515153123501,,,spots
wide_init_nonoise,sample_0010,4,False,0.9955947136563876,,,spots
wide_init_nonoise,sample_0010,5,False,0.9955947136563876,,,spots
wide_init_nonoise,sample_0010,6,False,0.005095270951647919,,,spots
wide_init_nonoise,sample_0010,7,False,0.9955947136563876,,,spots
wide_init_nonoise,sample_0010,8,False,0.9955947136563876,,,spots
wide_init_nonoise,sample_0010,9,False,0.9955947136563876,,,spots
wide_init_nonoise,sample_0010,10,False,0.9955947136563876,,,spots
wide_init_nonoise,sample_0010,11,False,0.9955947136563876,,,spots
posthoc_jitter,sample_0011,0,True,0.15067557680113164,0.685,0.8525,stripes
posthoc_jitter,sample_0011,1,True,0.08565435832398408,0.6425,0.78,stripes
posthoc_jitter,sample_0011,2,True,0.08565435832398408,0.5475,0.7325,stripes
posthoc_jitter,sample_0011,3,True,0.08565435832398408,0.9125,0.9975,stripes
posthoc_jitter,sample_0011,4,True,0.020633139846836648,0.8275,0.965,stripes
posthoc_jitter,sample_0011,5,True,0.08565435832398408,0.6575,0.745,stripes
posthoc_jitter,sample_0011,6,True,0.15067557680113164,0.9575,1.0,stripes
posthoc_jitter,sample_0011,7,True,0.21569679527827906,0.8975,1.0,stripes
posthoc_jitter,sample_0011,8,True,0.15067557680113164,0.6975,0.835,stripes
posthoc_jitter,sample_0011,9,True,0.21569679527827906,0.72,0.8825,stripes
posthoc_jitter,sample_0011,10,False,0.9959514170040485,,,stripes
posthoc_jitter,sample_0011,11,True,0.15067557680113164,0.9975,1.0,stripes
wide_init_nonoise,sample_0011,0,False,0.9959514170040485,,,stripes
wide_init_nonoise,sample_0011,1,True,0.08565435832398408,0.65,0.825,stripes
wide_init_nonoise,sample_0011,2,True,0.08565435832398408,0.89,0.995,stripes
wide_init_nonoise,sample_0011,3,False,0.2807180137554265,,,stripes
wide_init_nonoise,sample_0011,4,False,0.9959514170040485,,,stripes
wide_init_nonoise,sample_0011,5,False,0.9959514170040485,,,stripes
wide_init_nonoise,sample_0011,6,True,0.21569679527827906,0.97,1.0,stripes
wide_init_nonoise,sample_0011,7,True,0.020633139846836648,0.425,0.56,stripes
wide_init_nonoise,sample_0011,8,True,0.21569679527827906,0.985,1.0,stripes
wide_init_nonoise,sample_0011,9,False,0.9959514170040485,,,stripes
wide_init_nonoise,sample_0011,10,True,0.15067557680113164,0.8225,0.9875,stripes
wide_init_nonoise,sample_0011,11,False,0.9959514170040485,,,stripes
posthoc_jitter,sample_0012,0,False,0.9981981981981982,,,stripes
posthoc_jitter,sample_0012,1,True,0.2461087593617713,0.5825,0.58,stripes
posthoc_jitter,sample_0012,2,True,0.3905134049712363,0.1675,0.1875,stripes
posthoc_jitter,sample_0012,3,False,0.9981981981981982,,,stripes
posthoc_jitter,sample_0012,4,False,0.043264951698686736,,,stripes
posthoc_jitter,sample_0012,5,False,0.1590144361228699,,,stripes
posthoc_jitter,sample_0012,6,False,0.9981981981981982,,,stripes
posthoc_jitter,sample_0012,7,True,0.2461087593617713,0.5,0.6725,stripes
posthoc_jitter,sample_0012,8,False,0.27476392054705306,,,stripes
posthoc_jitter,sample_0012,9,False,0.9981981981981982,,,stripes
posthoc_jitter,sample_0012,10,False,0.3037012916530989,,,stripes
posthoc_jitter,sample_0012,11,False,0.24582654944100732,,,stripes
wide_init_nonoise,sample_0012,0,True,0.07220232280473247,0.7975,0.9575,stripes
wide_init_nonoise,sample_0012,1,True,0.014327580592640795,0.415,0.6525,stripes
wide_init_nonoise,sample_0012,2,True,0.014327580592640795,0.6625,0.8625,stripes
wide_init_nonoise,sample_0012,3,False,0.9981981981981982,,,stripes
wide_init_nonoise,sample_0012,4,False,0.9981981981981982,,,stripes
wide_init_nonoise,sample_0012,5,False,0.9981981981981982,,,stripes
wide_init_nonoise,sample_0012,6,False,0.9403234559861066,,,stripes
wide_init_nonoise,sample_0012,7,False,0.9981981981981982,,,stripes
wide_init_nonoise,sample_0012,8,True,0.014327580592640795,0.4675,0.585,stripes
wide_init_nonoise,sample_0012,9,True,0.043264951698686736,0.785,0.935,stripes
wide_init_nonoise,sample_0012,10,False,0.9981981981981982,,,stripes
wide_init_nonoise,sample_0012,11,False,0.9981981981981982,,,stripes
posthoc_jitter,sample_0013,0,True,0.21613911565658103,0.515,0.48,spots
posthoc_jitter,sample_0013,1,True,0.05432308579405781,0.7825,0.9475,spots
posthoc_jitter,sample_0013,2,True,0.21613911565658103,0.73,0.9425,spots
posthoc_jitter,sample_0013,3,False,0.9974811083123426,,,spots
posthoc_jitter,sample_0013,4,True,0.06703893660283457,0.4525,0.54,spots
posthoc_jitter,sample_0013,5,True,0.013869078328427114,0.9625,1.0,spots
posthoc_jitter,sample_0013,6,True,0.06703893660283457,0.8575,0.9875,spots
posthoc_jitter,sample_0013,7,True,0.06703893660283457,0.5525,0.665,spots
posthoc_jitter,sample_0013,8,False,0.026584929137203724,,,spots
posthoc_jitter,sample_0013,9,True,0.10749294406846525,0.8625,0.995,spots
posthoc_jitter,sample_0013,10,True,0.06703893660283457,0.9025,0.99,spots
posthoc_jitter,sample_0013,11,False,0.1479469515340961,,,spots
wide_init_nonoise,sample_0013,0,True,3.735637765166459,0.98,1.0,spots
wide_init_nonoise,sample_0013,1,True,0.39067099632788077,0.76,0.9475,spots
wide_init_nonoise,sample_0013,2,True,0.026584929137203724,0.465,0.68,spots
wide_init_nonoise,sample_0013,3,False,0.7952110709841886,,,spots
wide_init_nonoise,sample_0013,4,True,0.026584929137203724,0.6125,0.57,spots
wide_init_nonoise,sample_0013,5,True,0.026584929137203724,0.505,0.7325,spots
wide_init_nonoise,sample_0013,6,True,0.10749294406846525,0.5475,0.5625,spots
wide_init_nonoise,sample_0013,7,True,0.026584929137203724,0.3025,0.4425,spots
wide_init_nonoise,sample_0013,8,False,0.9974811083123426,,,spots
wide_init_nonoise,sample_0013,9,True,0.026584929137203724,0.77,0.925,spots
wide_init_nonoise,sample_0013,10,False,0.9974811083123426,,,spots
wide_init_nonoise,sample_0013,11,True,0.026584929137203724,0.9175,1.0,spots
posthoc_jitter,sample_0014,0,True,0.17460724356392135,0.825,0.995,spots
posthoc_jitter,sample_0014,1,True,0.06946936682901818,0.83,0.95,spots
posthoc_jitter,sample_0014,2,True,0.16710001098619395,0.9575,1.0,spots
posthoc_jitter,sample_0014,3,True,0.028161277328157604,0.735,0.895,spots
posthoc_jitter,sample_0014,4,True,0.16710001098619395,0.9725,1.0,spots
posthoc_jitter,sample_0014,5,False,0.21591533306478192,,,spots
posthoc_jitter,sample_0014,6,True,0.16710001098619395,0.585,0.59,spots
posthoc_jitter,sample_0014,7,False,0.4674991760354488,,,spots
posthoc_jitter,sample_0014,8,True,0.2647306551433698,0.8575,0.9625,spots
posthoc_jitter,sample_0014,9,False,0.9969604863221885,,,spots
posthoc_jitter,sample_0014,10,True,0.02065404475043037,0.965,1.0,spots
posthoc_jitter,sample_0014,11,False,0.9969604863221885,,,spots
wide_init_nonoise,sample_0014,0,False,0.9969604863221885,,,spots
wide_init_nonoise,sample_0014,1,False,0.4111766213791335,,,spots
wide_init_nonoise,sample_0014,2,False,0.8993298421650127,,,spots
wide_init_nonoise,sample_0014,3,False,0.9969604863221885,,,spots
wide_init_nonoise,sample_0014,4,False,0.21591533306478192,,,spots
wide_init_nonoise,sample_0014,5,False,0.9969604863221885,,,spots
wide_init_nonoise,sample_0014,6,False,0.9969604863221885,,,spots
wide_init_nonoise,sample_0014,7,False,0.06946936682901818,,,spots
wide_init_nonoise,sample_0014,8,False,0.45999194345772143,,,spots
wide_init_nonoise,sample_0014,9,True,0.11828468890760614,0.6625,0.7875,spots
wide_init_nonoise,sample_0014,10,False,0.9969604863221885,,,spots
