ds,key,topology,morph,L,kstar_true,n_hill,Dratio,slow_idx,base_rob_10,imm_slow_ok,imm_slow_rob,imm_mid_ok,imm_mid_rob,imm_fast_ok,imm_fast_rob
three_gene_train,sample_0048,selfinhib,spots,124.92513253291477,0.3017736389684814,2.0,151.61435036574863,0,0.9925,True,1.0,True,0.9925,False,0.0
three_gene_train,sample_0049,cross_repress,spots,98.69395648696695,0.3819799426934098,2.0,111.74006553356769,0,0.995,True,0.995,False,0.0,True,0.995
three_gene_train,sample_0050,relay_chain,spots,110.27104750646653,0.3418767908309456,3.0,135.72567837731594,0,0.9225,True,0.9225,True,0.8025,False,0.0
three_gene_train,sample_0051,substrate_depl,labyrinth,45.800561962334875,0.8231146131805158,4.0,49.762810396807176,0,0.935,True,0.935,False,0.0,True,0.935
three_gene_train,sample_0052,relay_chain,spots,129.2181303597923,0.2917478510028654,4.0,136.50402485385658,0,0.575,True,0.575,True,0.575,False,0.0
three_gene_train,sample_0053,selfinhib,labyrinth,110.27104750646653,0.3418767908309456,2.0,196.1606293157641,0,1.0,True,1.0,False,0.0,True,1.0
three_gene_train,sample_0054,selfinhib,spots,178.21138366519548,0.21154154727793698,2.0,248.14915231685967,0,0.9925,True,0.9925,True,0.9925,False,0.0
three_gene_train,sample_0055,cross_repress,spots,101.35418939107365,0.37195415472779375,4.0,218.45496930811268,0,0.7925,True,0.7925,True,0.7925,False,0.0
three_gene_train,sample_0056,double_inhibitor,spots,63.62488530989918,0.5925214899713468,4.0,58.06559802877255,0,0.9775,True,0.9775,True,0.9775,False,0.0
three_gene_train,sample_0057,double_inhibitor,spots,120.9082140200523,0.31179942693409746,3.0,240.7340159866933,0,1.0,True,1.0,True,0.9975,False,0.0
three_gene_train,sample_0058,selfinhib,labyrinth,104.16180466962271,0.36192836676217766,3.0,56.161913022921276,0,0.8775,True,1.0,True,0.8775,False,0.0
three_gene_train,sample_0059,cross_repress,spots,56.03917690978888,0.6727277936962751,4.0,26.0159161454191,0,0.6725,True,0.75,True,0.6725,False,0.0
three_gene_train,sample_0060,substrate_depl,spots,87.2444732519532,0.43210888252149,4.0,165.75803100907896,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0061,substrate_depl,labyrinth,89.31680119229944,0.42208309455587395,3.0,130.83794736052002,0,0.95,True,1.0,False,0.0,True,0.9675
