ds,key,morph,topology,mean_from_DC,frame_mean,var_from_power,frame_var,cv,x_star_ch,sigma_max,k_star
three_gene_train,sample_0006,spots,substrate_depl,0.31468904,0.31468904,0.022435073,0.022435073,0.4759727716445923,0.33974798353635927,0.23289504997888688,0.4722120343839542
three_gene_train,sample_0007,labyrinth,substrate_depl,0.8321751,0.8321751,0.14368868,0.14368868,0.45550858974456787,0.5836860507688132,1.6981252529757604,0.46218624641833816
three_gene_train,sample_0008,labyrinth,cross_repress,0.6919067,0.6919067,0.049381852,0.049381845,0.321170836687088,0.5908678391268564,0.21491039782379673,0.2616704871060172
three_gene_train,sample_0009,labyrinth,double_inhibitor,0.30573905,0.30573905,0.028456636,0.028456632,0.5517480969429016,0.3246032010782655,0.2633961912085101,0.46218624641833816
three_gene_train,sample_0010,labyrinth,selfinhib,0.17074168,0.17074166,0.00086030917,0.0008603091,0.17178599536418915,0.12646667857869598,0.10675904092427346,0.3819799426934098
three_gene_train,sample_0011,labyrinth,selfinhib,0.0811499,0.081149906,0.00089055,0.0008905501,0.3677402436733246,0.0849468422024601,0.0660042999089562,0.3017736389684814
three_gene_train,sample_0012,spots,double_inhibitor,0.08976807,0.08976807,0.0018070007,0.001807001,0.47354069352149963,0.10670094247101602,0.18952476475159763,0.46218624641833816
three_gene_train,sample_0013,spots,selfinhib,1.0572896,1.0572897,1.1631922,1.1631923,1.0200741291046143,2.124696306414332,0.016697945631058586,0.48223782234957024
three_gene_train,sample_0014,labyrinth,relay_chain,0.44456095,0.44456095,0.04973302,0.049733013,0.5016387104988098,0.5085138790661248,0.11723982621928242,0.25164469914040116
three_gene_train,sample_0015,labyrinth,substrate_depl,0.6649361,0.6649361,0.0614477,0.0614477,0.3727973997592926,0.7523559875780914,0.20815411783435558,0.25164469914040116
three_gene_train,sample_0016,spots,selfinhib,0.09446372,0.09446372,0.00923593,0.00923593,1.0173614025115967,0.13711135583895248,0.6318174342172482,0.37195415472779375
three_gene_train,sample_0017,labyrinth,selfinhib,0.2926353,0.2926353,0.027253872,0.027253874,0.5641406774520874,0.1747974802119416,0.32051427197132654,0.2917478510028654
three_gene_train,sample_0018,stripes,cross_repress,0.2023179,0.2023179,0.008565621,0.008565622,0.45745164155960083,0.21964642110593025,0.08555863422186505,0.5323667621776504
